location,name
{"lat":43.4642423,"lng":-79.7437745},Tim Hortons
{"lat":43.46519039999999,"lng":-79.7438205},Mr. Lube + Tires
{"lat":43.47138879999999,"lng":-79.7415826},Supreme Flooring
{"lat":43.46723799999999,"lng":-79.74540900000001},Fortinos Oakville Neyagawa
{"lat":43.4661279,"lng":-79.7464139},Hasty Market
{"lat":43.4646375,"lng":-79.7443961},Tim Hortons
{"lat":43.47545890000001,"lng":-79.73633939999999},Orthopedics In Motion
{"lat":43.46483870000001,"lng":-79.7422658},Food Basics Pharmacy
{"lat":43.4647155,"lng":-79.7424037},Food Basics
{"lat":43.464545,"lng":-79.74250119999999},Dollarama
{"lat":43.4761692,"lng":-79.73571079999999},Engineered Lifestyles
{"lat":43.46313360000001,"lng":-79.7440763},Dairy Queen (Treat)
{"lat":43.4647307,"lng":-79.74436879999999},Esso
{"lat":43.46542729999999,"lng":-79.7428096},Benjamin Moore The Painter's Place Oakville
{"lat":43.4638242,"lng":-79.74202369999999},Shoppers Drug Mart
{"lat":43.47439139999999,"lng":-79.7478428},AuriéLuxeco
{"lat":43.4694885,"lng":-79.7514149},Mallow and Zephyr
{"lat":43.4697547,"lng":-79.746567},Aloe Vera by Forever
{"lat":43.4740395,"lng":-79.7436026},Alpha and Omega Contracting Limited
{"lat":43.47784000000001,"lng":-79.74506},Pyramids Variety
