title,price,img,url,dist
Banana,$0.30,https://i5.walmartimages.ca/images/Thumbnails/580/6_r/875806_R.jpg,www.walmart.ca/en/ip/banana/875805,5
Plantain,$0.69,https://i5.walmartimages.ca/images/Thumbnails/000/002/999999-203287000002.jpg,www.walmart.ca/en/ip/plantain/6000196180852,5
Allen's Strawberry Banana Cocktail,$2.78,https://i5.walmartimages.com/asr/36adf169-3130-490f-a0a8-199e8dd33702.b179ba7f3908aa87b46df63e77cb1605.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,www.walmart.ca/en/ip/Allen-s-Strawberry-Banana-Cocktail/6000100071378,5
Banana Pecan Pound Cake,$3.98,https://i5.walmartimages.com/asr/e6fcf48e-28cd-4cdb-b0b2-50eef1868112.444cc1260406959acd0fe4c042e0a684.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,www.walmart.ca/en/ip/banana-pecan-pound-cake/6000198255098,5
Big Banana plantain tostones,$3.77,https://i5.walmartimages.com/asr/a04b2ba2-c181-448e-804a-420d10a71def.0c223d03c191c79cc5b6ebeb0df8b90b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,www.walmart.ca/en/ip/Big-Banana-plantain-tostones/6000202193333,5
Baby Mum-Mum Banana Rice Rusks,$3.27,https://i5.walmartimages.ca/images/Thumbnails/280/967/999999-68635280967.jpg,www.walmart.ca/en/ip/baby-mum-mum-banana-rice-rusks/6000001848065,5
Baby Banana Infant Toothbrush Teether,$11.97,https://i5.walmartimages.ca/images/Thumbnails/317/915/6000204317915.jpg,www.walmart.ca/en/ip/baby-banana-infant-toothbrush-teether-yellow/6000196484379,5
LEGO DOTS Cute Banana Pen Holder 41948 DIY Craft Toy Decoration Kit (438 Pieces),$19.44,https://i5.walmartimages.ca/images/Thumbnails/529/966/6000204529966.jpg,www.walmart.ca/en/ip/lego-dots-cute-banana-pen-holder-41948-diy-craft-toy-decoration-kit-438-pieces-multicolor/6000204282319,5
MadeGood Chocolate Banana Granola Bars 5pk,$4.77,https://i5.walmartimages.com/asr/3bd304d3-166b-4041-8289-cf1c4d1406ea.7266b3008873544e010b81b546bcfcce.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,www.walmart.ca/en/ip/MadeGood-Chocolate-Banana-Granola-Bars-5pk/6000191791660,5
Big Banana Sweet Plantains,$2.97,https://i5.walmartimages.com/asr/3e46e015-b3ea-42da-9a14-bf1512bf87ae.e74859499cb5a5247702d7ad937f4456.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,www.walmart.ca/en/ip/Big-Banana-Sweet-Plantains/6000197660419,5
